Bit-0,Bit-1,Bit-2,Bit-3,Bit-4,Bit-5,Bit-6,Bit-7,Bit-8,Bit-9
0.000000000000000000e+00,0.000000000000000000e+00,2.528521825396825434e-02,2.528521825396825434e-02,2.619047619047619110e-02,2.243303571428571438e-02,2.904265873015873106e-02,2.619047619047619110e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.474702380952381098e-02,3.474702380952381098e-02,3.287450396825396942e-02,3.287450396825396942e-02,3.474702380952381098e-02,3.189484126984126755e-02,3.474702380952381098e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.474702380952381098e-02,3.474702380952381098e-02,3.287450396825396942e-02,3.287450396825396942e-02,3.474702380952381098e-02,3.189484126984126755e-02,3.474702380952381098e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.090277777777777901e-02,2.904265873015873106e-02,3.071676587301587144e-02,3.071676587301587144e-02,2.904265873015873106e-02,2.687251984126984294e-02,3.474702380952381098e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.090277777777777901e-02,2.904265873015873106e-02,3.071676587301587144e-02,3.071676587301587144e-02,2.904265873015873106e-02,2.687251984126984294e-02,3.474702380952381098e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.972470238095237943e-02,2.972470238095237943e-02,3.189484126984126755e-02,3.189484126984126755e-02,2.972470238095237943e-02,3.189484126984126755e-02,2.972470238095237943e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.972470238095237943e-02,2.972470238095237943e-02,3.189484126984126755e-02,3.189484126984126755e-02,2.972470238095237943e-02,3.189484126984126755e-02,2.972470238095237943e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.571924603174603058e-02,2.460317460317460250e-02,2.687251984126984294e-02,2.687251984126984294e-02,2.460317460317460250e-02,2.687251984126984294e-02,2.972470238095237943e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.571924603174603058e-02,2.460317460317460250e-02,2.687251984126984294e-02,2.687251984126984294e-02,2.460317460317460250e-02,2.687251984126984294e-02,2.972470238095237943e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.904265873015873106e-02,3.090277777777777901e-02,3.071676587301587144e-02,3.071676587301587144e-02,3.474702380952381098e-02,2.687251984126984294e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.904265873015873106e-02,3.090277777777777901e-02,3.071676587301587144e-02,3.071676587301587144e-02,3.474702380952381098e-02,2.687251984126984294e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.528521825396825434e-02,2.528521825396825434e-02,2.619047619047619110e-02,2.619047619047619110e-02,2.904265873015873106e-02,2.243303571428571438e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.528521825396825434e-02,2.528521825396825434e-02,2.619047619047619110e-02,2.619047619047619110e-02,2.904265873015873106e-02,2.243303571428571438e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.460317460317460250e-02,2.571924603174603058e-02,2.687251984126984294e-02,2.687251984126984294e-02,2.972470238095237943e-02,2.687251984126984294e-02,2.460317460317460250e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.460317460317460250e-02,2.571924603174603058e-02,2.687251984126984294e-02,2.687251984126984294e-02,2.972470238095237943e-02,2.687251984126984294e-02,2.460317460317460250e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.140376984126984156e-02,2.140376984126984156e-02,2.243303571428571438e-02,2.243303571428571438e-02,2.460317460317460250e-02,2.243303571428571438e-02,2.460317460317460250e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.140376984126984156e-02,2.140376984126984156e-02,2.243303571428571438e-02,2.243303571428571438e-02,2.460317460317460250e-02,2.243303571428571438e-02,2.460317460317460250e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.458581349206349409e-02,3.746279761904761779e-02,3.055555555555555455e-02,3.055555555555555455e-02,4.239831349206349409e-02,3.055555555555555455e-02,3.458581349206349409e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.458581349206349409e-02,3.746279761904761779e-02,3.055555555555555455e-02,3.055555555555555455e-02,4.239831349206349409e-02,3.055555555555555455e-02,3.458581349206349409e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.588789682539682280e-02,3.458581349206349409e-02,2.953869047619047533e-02,2.953869047619047533e-02,3.588789682539682280e-02,2.953869047619047533e-02,3.458581349206349409e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.588789682539682280e-02,3.458581349206349409e-02,2.953869047619047533e-02,2.953869047619047533e-02,3.588789682539682280e-02,2.953869047619047533e-02,3.458581349206349409e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.356894841269841140e-02,3.690476190476190549e-02,3.071676587301587144e-02,3.071676587301587144e-02,3.706597222222222238e-02,3.055555555555555455e-02,3.356894841269841140e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.356894841269841140e-02,3.690476190476190549e-02,3.071676587301587144e-02,3.071676587301587144e-02,3.706597222222222238e-02,3.055555555555555455e-02,3.356894841269841140e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.022073412698412717e-02,3.356894841269841140e-02,2.619047619047619110e-02,2.619047619047619110e-02,3.022073412698412717e-02,2.953869047619047533e-02,3.356894841269841140e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.022073412698412717e-02,3.356894841269841140e-02,2.619047619047619110e-02,2.619047619047619110e-02,3.022073412698412717e-02,2.953869047619047533e-02,3.356894841269841140e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.807539682539682627e-02,4.239831349206349409e-02,2.522321428571428631e-02,2.522321428571428631e-02,4.239831349206349409e-02,2.522321428571428631e-02,2.807539682539682627e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.807539682539682627e-02,4.239831349206349409e-02,2.522321428571428631e-02,2.522321428571428631e-02,4.239831349206349409e-02,2.522321428571428631e-02,2.807539682539682627e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.790178571428571577e-02,3.588789682539682280e-02,2.387152777777777624e-02,2.387152777777777624e-02,3.588789682539682280e-02,2.387152777777777624e-02,2.807539682539682627e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.790178571428571577e-02,3.588789682539682280e-02,2.387152777777777624e-02,2.387152777777777624e-02,3.588789682539682280e-02,2.387152777777777624e-02,2.807539682539682627e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.672371031746031619e-02,3.706597222222222238e-02,2.455357142857142808e-02,2.455357142857142808e-02,3.706597222222222238e-02,2.522321428571428631e-02,2.672371031746031619e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.672371031746031619e-02,3.706597222222222238e-02,2.455357142857142808e-02,2.455357142857142808e-02,3.706597222222222238e-02,2.522321428571428631e-02,2.672371031746031619e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.410714285714285823e-02,3.022073412698412717e-02,2.125496031746031828e-02,2.125496031746031828e-02,3.022073412698412717e-02,2.387152777777777624e-02,2.672371031746031619e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.410714285714285823e-02,3.022073412698412717e-02,2.125496031746031828e-02,2.125496031746031828e-02,3.022073412698412717e-02,2.387152777777777624e-02,2.672371031746031619e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.356894841269841140e-02,3.690476190476190549e-02,3.071676587301587144e-02,3.055555555555555455e-02,3.706597222222222238e-02,3.071676587301587144e-02,3.356894841269841140e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.356894841269841140e-02,3.690476190476190549e-02,3.071676587301587144e-02,3.055555555555555455e-02,3.706597222222222238e-02,3.071676587301587144e-02,3.356894841269841140e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.022073412698412717e-02,3.356894841269841140e-02,2.619047619047619110e-02,2.953869047619047533e-02,3.022073412698412717e-02,2.619047619047619110e-02,3.356894841269841140e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.022073412698412717e-02,3.356894841269841140e-02,2.619047619047619110e-02,2.953869047619047533e-02,3.022073412698412717e-02,2.619047619047619110e-02,3.356894841269841140e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.904265873015873106e-02,3.474702380952381098e-02,2.687251984126984294e-02,3.071676587301587144e-02,3.090277777777777901e-02,3.071676587301587144e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.904265873015873106e-02,3.474702380952381098e-02,2.687251984126984294e-02,3.071676587301587144e-02,3.090277777777777901e-02,3.071676587301587144e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.528521825396825434e-02,2.904265873015873106e-02,2.243303571428571438e-02,2.619047619047619110e-02,2.528521825396825434e-02,2.619047619047619110e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.528521825396825434e-02,2.904265873015873106e-02,2.243303571428571438e-02,2.619047619047619110e-02,2.528521825396825434e-02,2.619047619047619110e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.672371031746031619e-02,3.706597222222222238e-02,2.455357142857142808e-02,2.522321428571428631e-02,3.706597222222222238e-02,2.455357142857142808e-02,2.672371031746031619e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.672371031746031619e-02,3.706597222222222238e-02,2.455357142857142808e-02,2.522321428571428631e-02,3.706597222222222238e-02,2.455357142857142808e-02,2.672371031746031619e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.410714285714285823e-02,3.022073412698412717e-02,2.125496031746031828e-02,2.387152777777777624e-02,3.022073412698412717e-02,2.125496031746031828e-02,2.672371031746031619e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.410714285714285823e-02,3.022073412698412717e-02,2.125496031746031828e-02,2.387152777777777624e-02,3.022073412698412717e-02,2.125496031746031828e-02,2.672371031746031619e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.342509920634920639e-02,3.090277777777777901e-02,2.168898809523809451e-02,2.455357142857142808e-02,3.090277777777777901e-02,2.455357142857142808e-02,2.342509920634920639e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.342509920634920639e-02,3.090277777777777901e-02,2.168898809523809451e-02,2.455357142857142808e-02,3.090277777777777901e-02,2.455357142857142808e-02,2.342509920634920639e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.072172619047618972e-02,2.528521825396825434e-02,1.855158730158730160e-02,2.125496031746031828e-02,2.528521825396825434e-02,2.125496031746031828e-02,2.342509920634920639e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.072172619047618972e-02,2.528521825396825434e-02,1.855158730158730160e-02,2.125496031746031828e-02,2.528521825396825434e-02,2.125496031746031828e-02,2.342509920634920639e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.356894841269841140e-02,3.690476190476190549e-02,3.055555555555555455e-02,3.071676587301587144e-02,3.706597222222222238e-02,3.071676587301587144e-02,3.356894841269841140e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.356894841269841140e-02,3.690476190476190549e-02,3.055555555555555455e-02,3.071676587301587144e-02,3.706597222222222238e-02,3.071676587301587144e-02,3.356894841269841140e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.022073412698412717e-02,3.356894841269841140e-02,2.953869047619047533e-02,2.619047619047619110e-02,3.022073412698412717e-02,2.619047619047619110e-02,3.356894841269841140e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.022073412698412717e-02,3.356894841269841140e-02,2.953869047619047533e-02,2.619047619047619110e-02,3.022073412698412717e-02,2.619047619047619110e-02,3.356894841269841140e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.904265873015873106e-02,3.474702380952381098e-02,3.071676587301587144e-02,2.687251984126984294e-02,3.090277777777777901e-02,3.071676587301587144e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.904265873015873106e-02,3.474702380952381098e-02,3.071676587301587144e-02,2.687251984126984294e-02,3.090277777777777901e-02,3.071676587301587144e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.528521825396825434e-02,2.904265873015873106e-02,2.619047619047619110e-02,2.243303571428571438e-02,2.528521825396825434e-02,2.619047619047619110e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.528521825396825434e-02,2.904265873015873106e-02,2.619047619047619110e-02,2.243303571428571438e-02,2.528521825396825434e-02,2.619047619047619110e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.672371031746031619e-02,3.706597222222222238e-02,2.522321428571428631e-02,2.455357142857142808e-02,3.706597222222222238e-02,2.455357142857142808e-02,2.672371031746031619e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.672371031746031619e-02,3.706597222222222238e-02,2.522321428571428631e-02,2.455357142857142808e-02,3.706597222222222238e-02,2.455357142857142808e-02,2.672371031746031619e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.410714285714285823e-02,3.022073412698412717e-02,2.387152777777777624e-02,2.125496031746031828e-02,3.022073412698412717e-02,2.125496031746031828e-02,2.672371031746031619e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.410714285714285823e-02,3.022073412698412717e-02,2.387152777777777624e-02,2.125496031746031828e-02,3.022073412698412717e-02,2.125496031746031828e-02,2.672371031746031619e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.342509920634920639e-02,3.090277777777777901e-02,2.455357142857142808e-02,2.168898809523809451e-02,3.090277777777777901e-02,2.455357142857142808e-02,2.342509920634920639e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.342509920634920639e-02,3.090277777777777901e-02,2.455357142857142808e-02,2.168898809523809451e-02,3.090277777777777901e-02,2.455357142857142808e-02,2.342509920634920639e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.072172619047618972e-02,2.528521825396825434e-02,2.125496031746031828e-02,1.855158730158730160e-02,2.528521825396825434e-02,2.125496031746031828e-02,2.342509920634920639e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.072172619047618972e-02,2.528521825396825434e-02,2.125496031746031828e-02,1.855158730158730160e-02,2.528521825396825434e-02,2.125496031746031828e-02,2.342509920634920639e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.904265873015873106e-02,3.474702380952381098e-02,3.071676587301587144e-02,3.071676587301587144e-02,3.090277777777777901e-02,2.687251984126984294e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.904265873015873106e-02,3.474702380952381098e-02,3.071676587301587144e-02,3.071676587301587144e-02,3.090277777777777901e-02,2.687251984126984294e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.528521825396825434e-02,2.904265873015873106e-02,2.619047619047619110e-02,2.619047619047619110e-02,2.528521825396825434e-02,2.243303571428571438e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.528521825396825434e-02,2.904265873015873106e-02,2.619047619047619110e-02,2.619047619047619110e-02,2.528521825396825434e-02,2.243303571428571438e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.460317460317460250e-02,2.972470238095237943e-02,2.687251984126984294e-02,2.687251984126984294e-02,2.571924603174603058e-02,2.687251984126984294e-02,2.460317460317460250e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.460317460317460250e-02,2.972470238095237943e-02,2.687251984126984294e-02,2.687251984126984294e-02,2.571924603174603058e-02,2.687251984126984294e-02,2.460317460317460250e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.140376984126984156e-02,2.460317460317460250e-02,2.243303571428571438e-02,2.243303571428571438e-02,2.140376984126984156e-02,2.243303571428571438e-02,2.460317460317460250e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.140376984126984156e-02,2.460317460317460250e-02,2.243303571428571438e-02,2.243303571428571438e-02,2.140376984126984156e-02,2.243303571428571438e-02,2.460317460317460250e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.342509920634920639e-02,3.090277777777777901e-02,2.455357142857142808e-02,2.455357142857142808e-02,3.090277777777777901e-02,2.168898809523809451e-02,2.342509920634920639e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.342509920634920639e-02,3.090277777777777901e-02,2.455357142857142808e-02,2.455357142857142808e-02,3.090277777777777901e-02,2.168898809523809451e-02,2.342509920634920639e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.072172619047618972e-02,2.528521825396825434e-02,2.125496031746031828e-02,2.125496031746031828e-02,2.528521825396825434e-02,1.855158730158730160e-02,2.342509920634920639e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.072172619047618972e-02,2.528521825396825434e-02,2.125496031746031828e-02,2.125496031746031828e-02,2.528521825396825434e-02,1.855158730158730160e-02,2.342509920634920639e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.028769841269841348e-02,2.571924603174603058e-02,2.168898809523809451e-02,2.168898809523809451e-02,2.571924603174603058e-02,2.168898809523809451e-02,2.028769841269841348e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.028769841269841348e-02,2.571924603174603058e-02,2.168898809523809451e-02,2.168898809523809451e-02,2.571924603174603058e-02,2.168898809523809451e-02,2.028769841269841348e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.796874999999999861e-02,2.140376984126984156e-02,1.855158730158730160e-02,1.855158730158730160e-02,2.140376984126984156e-02,1.855158730158730160e-02,2.028769841269841348e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.796874999999999861e-02,2.140376984126984156e-02,1.855158730158730160e-02,1.855158730158730160e-02,2.140376984126984156e-02,1.855158730158730160e-02,2.028769841269841348e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.746279761904761779e-02,3.458581349206349409e-02,3.055555555555555455e-02,3.055555555555555455e-02,3.458581349206349409e-02,3.055555555555555455e-02,4.239831349206349409e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.746279761904761779e-02,3.458581349206349409e-02,3.055555555555555455e-02,3.055555555555555455e-02,3.458581349206349409e-02,3.055555555555555455e-02,4.239831349206349409e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.239831349206349409e-02,2.807539682539682627e-02,2.522321428571428631e-02,2.522321428571428631e-02,2.807539682539682627e-02,2.522321428571428631e-02,4.239831349206349409e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.239831349206349409e-02,2.807539682539682627e-02,2.522321428571428631e-02,2.522321428571428631e-02,2.807539682539682627e-02,2.522321428571428631e-02,4.239831349206349409e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.690476190476190549e-02,3.356894841269841140e-02,3.071676587301587144e-02,3.071676587301587144e-02,3.356894841269841140e-02,3.055555555555555455e-02,3.706597222222222238e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.690476190476190549e-02,3.356894841269841140e-02,3.071676587301587144e-02,3.071676587301587144e-02,3.356894841269841140e-02,3.055555555555555455e-02,3.706597222222222238e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.706597222222222238e-02,2.672371031746031619e-02,2.455357142857142808e-02,2.455357142857142808e-02,2.672371031746031619e-02,2.522321428571428631e-02,3.706597222222222238e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.706597222222222238e-02,2.672371031746031619e-02,2.455357142857142808e-02,2.455357142857142808e-02,2.672371031746031619e-02,2.522321428571428631e-02,3.706597222222222238e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.458581349206349409e-02,3.588789682539682280e-02,2.953869047619047533e-02,2.953869047619047533e-02,3.458581349206349409e-02,2.953869047619047533e-02,3.588789682539682280e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.458581349206349409e-02,3.588789682539682280e-02,2.953869047619047533e-02,2.953869047619047533e-02,3.458581349206349409e-02,2.953869047619047533e-02,3.588789682539682280e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.588789682539682280e-02,2.790178571428571577e-02,2.387152777777777624e-02,2.387152777777777624e-02,2.807539682539682627e-02,2.387152777777777624e-02,3.588789682539682280e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.588789682539682280e-02,2.790178571428571577e-02,2.387152777777777624e-02,2.387152777777777624e-02,2.807539682539682627e-02,2.387152777777777624e-02,3.588789682539682280e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.356894841269841140e-02,3.022073412698412717e-02,2.619047619047619110e-02,2.619047619047619110e-02,3.356894841269841140e-02,2.953869047619047533e-02,3.022073412698412717e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.356894841269841140e-02,3.022073412698412717e-02,2.619047619047619110e-02,2.619047619047619110e-02,3.356894841269841140e-02,2.953869047619047533e-02,3.022073412698412717e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.022073412698412717e-02,2.410714285714285823e-02,2.125496031746031828e-02,2.125496031746031828e-02,2.672371031746031619e-02,2.387152777777777624e-02,3.022073412698412717e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.022073412698412717e-02,2.410714285714285823e-02,2.125496031746031828e-02,2.125496031746031828e-02,2.672371031746031619e-02,2.387152777777777624e-02,3.022073412698412717e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.690476190476190549e-02,3.356894841269841140e-02,3.071676587301587144e-02,3.055555555555555455e-02,3.356894841269841140e-02,3.071676587301587144e-02,3.706597222222222238e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.690476190476190549e-02,3.356894841269841140e-02,3.071676587301587144e-02,3.055555555555555455e-02,3.356894841269841140e-02,3.071676587301587144e-02,3.706597222222222238e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.706597222222222238e-02,2.672371031746031619e-02,2.455357142857142808e-02,2.522321428571428631e-02,2.672371031746031619e-02,2.455357142857142808e-02,3.706597222222222238e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.706597222222222238e-02,2.672371031746031619e-02,2.455357142857142808e-02,2.522321428571428631e-02,2.672371031746031619e-02,2.455357142857142808e-02,3.706597222222222238e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.474702380952381098e-02,2.904265873015873106e-02,2.687251984126984294e-02,3.071676587301587144e-02,2.904265873015873106e-02,3.071676587301587144e-02,3.090277777777777901e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.474702380952381098e-02,2.904265873015873106e-02,2.687251984126984294e-02,3.071676587301587144e-02,2.904265873015873106e-02,3.071676587301587144e-02,3.090277777777777901e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.090277777777777901e-02,2.342509920634920639e-02,2.168898809523809451e-02,2.455357142857142808e-02,2.342509920634920639e-02,2.455357142857142808e-02,3.090277777777777901e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.090277777777777901e-02,2.342509920634920639e-02,2.168898809523809451e-02,2.455357142857142808e-02,2.342509920634920639e-02,2.455357142857142808e-02,3.090277777777777901e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.356894841269841140e-02,3.022073412698412717e-02,2.619047619047619110e-02,2.953869047619047533e-02,3.356894841269841140e-02,2.619047619047619110e-02,3.022073412698412717e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.356894841269841140e-02,3.022073412698412717e-02,2.619047619047619110e-02,2.953869047619047533e-02,3.356894841269841140e-02,2.619047619047619110e-02,3.022073412698412717e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.022073412698412717e-02,2.410714285714285823e-02,2.125496031746031828e-02,2.387152777777777624e-02,2.672371031746031619e-02,2.125496031746031828e-02,3.022073412698412717e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.022073412698412717e-02,2.410714285714285823e-02,2.125496031746031828e-02,2.387152777777777624e-02,2.672371031746031619e-02,2.125496031746031828e-02,3.022073412698412717e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.904265873015873106e-02,2.528521825396825434e-02,2.243303571428571438e-02,2.619047619047619110e-02,2.904265873015873106e-02,2.619047619047619110e-02,2.528521825396825434e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.904265873015873106e-02,2.528521825396825434e-02,2.243303571428571438e-02,2.619047619047619110e-02,2.904265873015873106e-02,2.619047619047619110e-02,2.528521825396825434e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.528521825396825434e-02,2.072172619047618972e-02,1.855158730158730160e-02,2.125496031746031828e-02,2.342509920634920639e-02,2.125496031746031828e-02,2.528521825396825434e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.528521825396825434e-02,2.072172619047618972e-02,1.855158730158730160e-02,2.125496031746031828e-02,2.342509920634920639e-02,2.125496031746031828e-02,2.528521825396825434e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.690476190476190549e-02,3.356894841269841140e-02,3.055555555555555455e-02,3.071676587301587144e-02,3.356894841269841140e-02,3.071676587301587144e-02,3.706597222222222238e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.690476190476190549e-02,3.356894841269841140e-02,3.055555555555555455e-02,3.071676587301587144e-02,3.356894841269841140e-02,3.071676587301587144e-02,3.706597222222222238e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.706597222222222238e-02,2.672371031746031619e-02,2.522321428571428631e-02,2.455357142857142808e-02,2.672371031746031619e-02,2.455357142857142808e-02,3.706597222222222238e-02,0.000000000000000000e+00
